,LocalCidade,LocalUF,RegiaoBrasil,PopEstimada_2018,PopCenso_2010,IDHM,ReceitasRealizadas_2014,DespesasEmpenhadas_2014,Pib_2014
0,ALTA FLORESTA D'OESTE,RO,N,23167,24392,0.641,53490,47577,16461.11
2,CABIXI,RO,N,5438,6313,0.65,22635,19354,18346.17
3,CACOAL,RO,N,84813,78574,0.718,169636,155473,20725.23
4,CEREJEIRAS,RO,N,16444,17029,0.692,53147,46774,22179.17
5,COLORADO D OESTE,RO,N,16227,18591,0.685,34612,34381,15300.88
6,CORUMBIARA,RO,N,7567,8783,0.613,31930,26576,21651.45
8,ESPIGAO D OESTE,RO,N,32047,28729,0.672,64926,48201,14870.87
9,GUAJARA MIRIM,RO,N,45783,41656,0.657,76112,68052,14711.46
10,JARU,RO,N,51933,52005,0.689,105690,93923,22115.38
11,JI PARANA,RO,N,127907,116610,0.714,216601,184993,21239.09
12,MACHADINHO D'OESTE,RO,N,39097,31135,0.596,67914,64452,12105.58
13,NOVA BRASILANDIA D OESTE,RO,N,20459,19874,0.643,43737,33593,12620.96
14,OURO PRETO DO OESTE,RO,N,36340,37928,0.682,83734,65631,15925.15
15,PIMENTA BUENO,RO,N,36434,33822,0.71,67322,65568,24271.99
16,PORTO VELHO,RO,N,519531,428527,0.736,1172070,1041659,27741.1
17,PRESIDENTE MEDICI,RO,N,19409,22319,0.664,51414,39412,16109.63
18,RIO CRESPO,RO,N,3723,3316,0.643,15567,14450,20893.97
19,ROLIM DE MOURA,RO,N,54702,50648,0.7,116687,95444,19714.8
20,SANTA LUZIA D'OESTE,RO,N,6781,8886,0.67,24193,19923,15944.7
21,VILHENA,RO,N,97448,76202,0.731,214113,203544,23055.2
22,SAO MIGUEL DO GUAPORE,RO,N,22931,21828,0.646,51451,42053,19573.27
23,NOVA MAMORE,RO,N,29757,22546,0.587,55313,45112,13734.16
24,ALVORADA D'OESTE,RO,N,14722,16853,0.643,41060,32744,12955.26
25,ALTO ALEGRE DOS PARECIS,RO,N,13227,12816,0.592,33156,31436,15258.48
26,ALTO PARAISO,RO,N,20999,17135,0.625,34530,32758,12681.06
27,BURITIS,RO,N,38937,32383,0.616,69435,62740,13712.51
28,NOVO HORIZONTE DO OESTE,RO,N,8751,10240,0.634,22197,18460,13086.43
29,CACAULANDIA,RO,N,6190,5736,0.646,28301,19437,19696.99
30,CAMPO NOVO DE RONDONIA,RO,N,14009,12665,0.593,39784,32509,15688.9
31,CANDEIAS DO JAMARI,RO,N,25983,19779,0.649,51955,45840,16462.58
32,CASTANHEIRAS,RO,N,3119,3575,0.658,16992,15673,18382.58
33,CHUPINGUAIA,RO,N,10886,8301,0.652,34632,29404,23819.62
34,CUJUBIM,RO,N,24226,15854,0.612,40859,34143,13413.91
36,ITAPUA DO OESTE,RO,N,10272,8566,0.614,25058,19968,14314.26
37,MINISTRO ANDREAZZA,RO,N,9762,10352,0.638,31980,26571,15807.26
39,MONTE NEGRO,RO,N,15695,14091,0.607,36961,30224,14505.26
40,NOVA UNIAO,RO,N,7047,7493,0.587,21747,18178,13190.81
41,PARECIS,RO,N,5947,4810,0.617,18062,14908,14785.73
